id,text,place,time
1016348501914128384,"On your watch @FLGovScott You took our tax money &amp; didn't use it to prevent this!
Massive and toxic algae bloom thr… https://t.co/lOiJCycCvd",SW Florida's GOP WONDERLAND,2018-07-09 15:49:00
1016317872656867329,"Big Sugar will be held accountable, and we will (are) mobilizing solutions. Period.
https://t.co/IXGm7v2A56 #economy #ecology #environment","Newport Beach, CA & Palm Beach, FL - otherwise global",2018-07-09 13:47:17
1016315430506565632,Massive and toxic algae bloom threatens Florida coasts with another lost summer https://t.co/9OQjN4i048,"Lenoir, NC",2018-07-09 13:37:35
1016315259584380930,Massive and toxic algae bloom threatens Florida coasts with another lost summer @MiamiHerald https://t.co/9GHJVcCVaz,"St Petersburg, FL",2018-07-09 13:36:54
1016309567267983360,Fear grows as Lake Okeechobee faces toxic algae bloom https://t.co/XCr5hQRhDA,new york ny,2018-07-09 13:14:17
1016296758987640832,‘It’s kind of horrific’: Toxic algae bloom threatens Florida coasts (again) https://t.co/976IgB7VI0,CincyOH/FtMyersFla,2018-07-09 12:23:23
1016230191880863744,"Skip ⁦@ScottforFlorida⁩ — unclean water and a governor who scammed Medicare and made a TON of $$ doing it.

Massive… https://t.co/9RG49Us2px","Las Vegas, NV",2018-07-09 07:58:53
1016169602404048896,"Update: The recent #Sentinel2 scene captured the massive bloom in Diamond Valley Lake, California which remains clo… https://t.co/dn1JNXFOPW","Athens, Georgia",2018-07-09 03:58:07
1016165083775422465,BREAKING: Army Corp of Engineers agreed late Sunday to delay release of Lake O water into St Lucie and Caloosahatch… https://t.co/n0lsrK6NKH,"Miami, Florida",2018-07-09 03:40:10
1016160980345106432,@21stCenturyDon The toxic algae bloom is already in your county.,"Utah, USA",2018-07-09 03:23:51
1016106095356579841,"Massive and toxic algae bloom threatens Florida coasts with another lost summer
https://t.co/tyCn4ogCY1","Ann Arbor, MI",2018-07-08 23:45:46
1016060607299235846,Eight years waiting for a real solution for toxic algae bloom.  Maybe you should run for governor instead of senato… https://t.co/GuxAplX8LA,United States,2018-07-08 20:45:00
1016060016581861376,Massive and toxic algae bloom threatens Florida coasts with another lost summer https://t.co/4C5LcpUYRw,"Orlando, FL",2018-07-08 20:42:40
1016056700510629889,"Yes the summer algae bloom is really back on Lake Erie.  The warm sunshine helps the microcystis grow, as did the h… https://t.co/4SzeOxE9TQ","Toledo, Ohio",2018-07-08 20:29:29
1016040895140057088,"Massive and toxic algae bloom threatens Florida coasts with another lost summer !
Used to live in Florida and red t… https://t.co/dHRFDtMhZD",,2018-07-08 19:26:41
1016004322755272705,Massive and toxic algae bloom threatens Florida coasts with another lost summer - Miami Herald https://t.co/U0R0HsPGM2 via @GoogleNews,,2018-07-08 17:01:21
1015966059629809664,Massive and toxic algae bloom threatens Florida coasts with another lost summer https://t.co/TUFcQO8bfx,st tropez fr / ft lauderdale,2018-07-08 14:29:19
1015956393432674305,Toxic algae bloom threatens Florida waters https://t.co/dkZ8uiMNlO,,2018-07-08 13:50:54
1015949480191975424,Massive and toxic algae bloom threatens Florida coasts with another lost summer https://t.co/lqodGT0ICK,southern california,2018-07-08 13:23:26
1015946722881802240,Massive and toxic algae bloom threatens Florida coasts with another lost summer - Miami Herald https://t.co/LQa2sFfYPv via @GoogleNews,"St. Joseph, MO",2018-07-08 13:12:28
